title,popularity,collection,genres_encoded
Triple Cross,10.188296,,"[0, 1, 17]"
Mouth to Mouth,1.586873,,[6]
Mad Dog Morgan,2.212707,,"[0, 4, 6, 19]"
Spite Marriage,0.942242,,[3]
Superman Returns,13.284712,Superman Collection,"[1, 8, 0, 15]"
Edward II,4.556825,,"[10, 14, 6]"
The Road to Guantanamo,1.514503,,"[5, 6]"
Leonard Cohen: I'm Your Man,0.322965,,[5]
Edmond,3.858023,,"[6, 17]"
The Oh in Ohio,7.502117,,"[3, 6, 14]"
Little Miss Sunshine,5.320117,,"[3, 6]"
Brothers of the Head,0.492083,,"[12, 6]"
Forgiving Dr. Mengele,0.090293,,[5]
Fuse,1.557965,,"[3, 6]"
Curse of the Pink Panther,8.046375,The Pink Panther (Original) Collection,"[4, 3]"
Mimic: Sentinel,2.803406,Mimic Collection,"[11, 15, 17]"
Rock 'n' Roll Nightmare,0.186921,,"[11, 12]"
These Girls,1.042863,,"[3, 6, 14]"
Why Does Herr R. Run Amok?,0.620251,,[6]
Instrument: Ten Years with the Band Fugazi,0.489398,,"[5, 12]"
The 300 Spartans,6.734287,,"[0, 6, 10]"
The Fallen Idol,1.982942,,"[6, 13, 17]"
Desperate,0.826279,,"[4, 17]"
Knock on Any Door,1.19379,,"[4, 6]"
Babel,12.60853,,[6]
China Seas,5.272138,,"[1, 0, 14]"
I Walk the Line,0.775854,,[6]
The Thief Lord,2.919269,,[1]
The Girl Can't Help It,2.364634,,[3]
Krrish,4.431245,Krrish Collection,"[0, 15]"
Strangers with Candy,3.786971,,[3]
Prophecy,3.579175,,"[11, 15]"
The Kremlin Letter,0.906391,,"[6, 0, 17]"
Young Mr. Lincoln,2.062713,,"[10, 6]"
Subject Two,1.039179,,"[11, 15, 17]"
Blackjack,1.685334,,"[0, 17]"
Three Times,1.104479,,"[4, 6, 9, 14]"
The Gumball Rally,6.627829,,"[0, 1, 3]"
Wordplay,0.750184,,[5]
Army of Shadows,7.872569,,"[18, 6]"
Orchestra Rehearsal,1.277491,,"[9, 6]"
Little Man,7.067602,,"[3, 4]"
Dames,0.26615,,"[14, 12, 3]"
Dancing Lady,6.232671,,"[3, 6, 12, 14]"
The Purple Plain,0.916951,,"[6, 0, 1, 18]"
Coonskin,2.674903,,"[0, 2, 3, 4, 6]"
Whispering Corridors 2: Memento Mori,1.822103,Whispering Corridors Collection,"[8, 11, 14]"
End Game,2.534678,,"[0, 13, 17]"
End of the Spear,0.881335,,"[1, 6]"
Two for the Seesaw,1.345865,,[14]
The Detective,0.782194,,"[6, 13, 17]"
Monster House,15.402378,,"[2, 3, 7, 8]"
Wrong Side Up,0.176722,,"[3, 6]"
Just Love Me,0.579309,,"[6, 3, 14, 9]"
How Much Do You Love Me?,6.599255,,"[3, 14]"
Colour Me Kubrick,2.555216,,"[3, 6]"
Death of a Bureaucrat,0.392533,,[3]
Snakes on a Plane,7.418574,,"[0, 4, 11, 17]"
Scoop,8.16339,,"[3, 13]"
Talladega Nights: The Ballad of Ricky Bobby,6.936688,,[3]
Night at the Museum,16.661966,Night at the Museum Collection,"[0, 1, 3, 7, 8]"
World Trade Center,13.332102,,"[6, 10, 17]"
Stranger Than Fiction,10.798092,,"[3, 6, 8, 14]"
The Valley of Decision,0.230534,,[6]
The Last Angry Man,0.099822,,[6]
The Good Fairy,0.842381,,"[3, 14]"
Sione's Wedding,0.658538,,"[3, 14]"
Miami Vice,11.72545,,"[0, 1, 4, 17]"
The Groomsmen,3.098757,,"[3, 14]"
Shadowboxer,3.146891,,"[0, 4, 6, 17]"
Each Dawn I Die,2.037482,,"[6, 0, 17]"
Loch Ness,2.610615,,"[6, 7]"
"Good Morning, Night",1.611098,,[6]
Live and Become,2.749427,,[6]
On Dangerous Ground,1.830056,,"[4, 6, 17]"
The Pursuit of Happyness,20.981716,,[6]
Tears of the Black Tiger,1.078123,,"[14, 3, 0]"
John Tucker Must Die,7.810301,,[3]
The Ant Bully,7.000272,,"[8, 1, 2, 3, 7]"
Warning Shadows,0.590881,,"[17, 8, 6, 11]"
Leaves from Satan's Book,0.385286,,[6]
Michael,0.615521,,"[14, 6]"
Lady Killer,0.513768,,"[3, 4]"
Mrs Palfrey at The Claremont,2.6982,,"[3, 6]"
The Death of Mr. Lazarescu,3.360684,,"[3, 6]"
Cría Cuervos,4.881051,,[6]
Ciao! Manhattan,0.065306,,"[5, 6]"
"Gas, Inspector Palmu!",0.41551,,[]
The Rainmaker,1.469077,,"[3, 14, 19]"
Crank,12.627593,Crank Collection,"[0, 17, 4]"
The Secret Life of Words,12.775583,,"[6, 14]"
The Dudesons Movie,1.26363,,"[0, 3, 9]"
Black Gold,6.652197,,"[1, 6]"
The Hurricane,0.329549,,"[0, 1]"
Johnny Was,0.647692,,"[0, 4, 6]"
Played,0.951017,,"[17, 4, 9]"
Chaos,9.51795,,"[6, 0, 4]"
The Night Listener,11.478867,,"[6, 17]"
Barnyard,6.984949,,"[2, 3, 7]"
Murmur of the Heart,3.981996,,"[3, 6, 14]"
They Won't Believe Me,1.686848,,[13]
The Left Hand of God,1.347798,,[6]
Compulsion,1.240376,,"[4, 6]"
A Canterbury Tale,1.77798,,"[18, 17, 3, 6, 13]"
Dirty Mary Crazy Larry,2.314337,,"[0, 1, 4]"
Angels Over Broadway,1.164564,,[6]
Fortress,1.134903,,"[11, 17]"
Step Up,14.21769,Step Up Collection,"[12, 6, 14, 4]"
Zoom,11.967444,,"[7, 8, 3]"
Bon Cop Bad Cop,5.397604,Bon Cop Bad Cop Collection,"[0, 3, 4]"
Tom Dick and Harry,0.8313,,"[3, 8, 14]"
Mind Game,3.586257,,"[1, 2, 13]"
Land of the Blind,1.469243,,"[6, 17]"
Half Nelson,12.155115,,[6]
The Moustache,5.54542,,"[17, 6, 13]"
Wing Chun,2.01819,,"[14, 0, 3]"
Executioners,0.832443,The Heroic Trio Collection,"[0, 3, 15]"
The Legend of the Swordsman,2.872173,Swordsman Collection,"[0, 8]"
Peking Opera Blues,0.773614,,"[0, 3]"
Tideland,6.796465,,"[8, 6, 17, 15]"
Good News,0.793978,,"[3, 12, 14]"
Thunderbolt,4.542915,,"[0, 17]"
G-Men,1.059075,,"[0, 1, 4, 6]"
Adam's Apples,6.044534,,"[6, 3, 4]"
Cabin in the Sky,1.233446,,"[8, 12]"
Tol'able David,0.308298,,[6]
2:37,6.558245,,[6]
Material Girls,4.581577,,[3]
Accepted,7.06088,,[3]
Lie with Me,9.317941,,[6]
Crime Busters,9.351042,,"[0, 3]"
Att stjäla en tjuv,0.370968,,[3]
Drömkåken,0.382586,,[3]
Shake It,0.891316,,"[3, 6]"
Born to Kill,2.187318,,"[4, 6, 17]"
Heading South,2.355532,,"[6, 14]"
Seven Men from Now,2.511267,,"[0, 1, 6, 19]"
Captain January,2.033395,,"[3, 7]"
The Illusionist,11.494009,,"[8, 6, 17, 14]"
Adventures of Don Juan,2.050167,,"[0, 1, 3, 14]"
State of the Union,1.927017,,"[3, 6, 14]"
San Quentin,0.475803,,"[0, 6]"
The Queen,7.904371,,[6]
36th Precinct,12.727685,,"[4, 6, 17]"
Beerfest,7.481125,,[3]
How to Eat Fried Worms,4.691574,,"[3, 6, 7]"
Invincible,9.794881,,[6]
Idlewild,1.747683,,"[4, 6, 12]"
A Slight Case of Murder,1.421327,,"[3, 4]"
The Syrian Bride,1.225592,,[6]
"Sorry, Haters",1.359754,,[6]
The Ritz,0.473585,,"[12, 3]"
My Geisha,0.14668,,"[3, 14]"
Blithe Spirit,3.219717,,"[8, 6, 3, 14]"
The Music Box,2.186467,,"[0, 3]"
The Red Balloon,5.322608,,"[8, 6, 7]"
Way Out West,2.339021,,"[3, 19, 12]"
Angel-A,5.512501,,"[14, 3, 6, 8]"
Green for Danger,1.725261,,"[6, 13, 17]"
A Chump at Oxford,3.007421,,[3]
Block-Heads,1.440106,,"[3, 18]"
The Icicle Thief,0.02553,,[3]
Quinceañera,0.584072,,[6]
The Puffy Chair,0.709745,,"[6, 3, 14]"
Lassie,12.61454,,"[1, 6, 7]"
Mutual Appreciation,0.3671,,"[6, 3]"
The Wicker Man,9.423256,,"[13, 17, 11]"
Crossover,0.906143,,"[0, 1, 6]"
The Quiet,4.997751,,"[6, 17]"
Sketches of Frank Gehry,1.821956,,[5]
Ivanhoe,1.049948,,"[6, 10, 1]"
Ronja Robbersdaughter,5.135373,,"[1, 6, 8, 7]"
Framed,1.385902,,"[0, 3]"
Breaking Out,1.371217,,"[3, 6]"
Yrrol,1.103116,,[3]
The Wind That Shakes the Barley,6.752524,,"[6, 10, 18]"
Blood on the Moon,1.033927,,"[0, 19, 6]"
Le Notti Bianche,2.69067,,"[6, 14]"
Fateless,5.824746,,"[18, 6]"
The Bravados,2.759182,,"[6, 0, 19]"
The Sign of the Cross,1.166429,,"[6, 10]"
The Criminal Life of Archibaldo de la Cruz,1.054443,,"[3, 4, 6]"
Overlord,3.751877,,"[18, 6, 10]"
Severance,9.632547,,"[11, 3, 17]"
Time to Leave,3.333665,,[6]
Hollywoodland,7.464981,,"[6, 17, 4]"
The Covenant,12.72212,,"[0, 1, 8, 11, 15, 17]"
Jesse James,9.067078,,"[19, 4, 6, 10]"
The Scar,0.025665,,[6]
The Last Kiss,9.996541,,"[3, 6, 14]"
Gabrielle,1.129631,,"[0, 3, 6, 9, 14, 17]"
Trust the Man,10.184628,,"[3, 6, 14]"
Sherrybaby,3.319349,,[6]
Bio Zombie,0.870092,,"[11, 3, 9]"
Idiocracy,12.130803,,"[1, 3, 15]"
Jesus Camp,4.886956,,[5]
The Bow,2.717261,,"[6, 14]"
The Crusades,0.456739,,"[1, 6, 10]"
The Tiger and the Snow,5.524817,,"[3, 6, 14]"
Pretty Poison,1.916337,,"[4, 6, 14, 17]"
The Fountain,11.577121,,"[6, 1, 15, 14]"
Fear City: A Family-Style Comedy,7.985398,,[3]
Assassin(s),2.499591,,"[6, 4]"
Union Pacific,1.378422,,"[6, 19]"
A Boy Named Charlie Brown,1.852328,,"[2, 3, 7]"
"Snoopy, Come Home",1.811747,,[7]
A Soldier's Sweetheart,0.053375,,"[16, 18, 6]"
The Science of Sleep,10.603991,,"[3, 6, 8]"
City for Conquest,1.461503,,"[12, 6, 4]"
Initial D,4.331811,,"[0, 4, 17, 6]"
Wicked,2.045542,,[17]
The Long Voyage Home,5.72178,,"[0, 6, 18]"
Not as a Stranger,0.294175,,"[6, 14]"
The Black Dahlia,6.506572,,[6]
The Woods,3.601261,,"[13, 11, 17]"
Everyone's Hero,5.787334,,"[0, 1, 2, 3, 6, 7]"
Gridiron Gang,5.025475,,"[0, 1, 4, 6]"
The Seventh Continent,5.694032,Trilogía de la violencia de Michael Haneke,[6]
Aaltra,0.692062,,"[3, 9, 6]"
Wonder Man,2.395994,,"[12, 3, 8]"
Lisbon Story,1.218279,,"[6, 9, 17]"
Streamers,0.225313,,[6]
Land of Plenty,1.824186,,"[6, 10, 18]"
Lemming,2.753316,,"[6, 17, 13]"
Taxidermia,5.141933,,"[6, 11, 3]"
Flight from Death: The Quest for Immortality,0.296731,,[5]
Yuva,0.507051,,"[1, 0, 6, 4]"
Mondo Topless,1.075191,,[5]
The Bridge,3.800868,,[5]
Vixen!,1.310245,Vixens Collection,"[3, 6, 14]"
Empire Falls,5.234659,,"[6, 14]"
Piccadilly,0.807057,,[6]
The Private Life of Henry VIII,3.491337,,"[3, 6, 14, 10]"
Apocalypto,7.735233,,"[0, 1, 6, 17]"
Household Saints,0.055173,,[]
Raintree County,2.607994,,"[6, 14]"
Flyboys,5.460942,,"[0, 1, 6, 10, 14, 18]"
Jackass Number Two,7.915368,Jackass Collection,"[0, 3, 5]"
All the King's Men,7.991168,,"[6, 17]"
Conversations with Other Women,2.333661,,"[6, 14]"
The Land Before Time II: The Great Valley Adventure,8.98856,The Land Before Time Collection,"[2, 7, 1]"
Father Sergius,0.041727,,"[10, 6]"
The Assault,1.899468,,"[10, 6]"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,8.278336,,[3]
Iraq for Sale: The War Profiteers,0.303529,,[5]
Pan's Labyrinth,26.817754,,"[8, 6, 18]"
The Conqueror,2.050561,,"[0, 1]"
The Guardian,10.031817,,"[0, 1, 6]"
Open Season,11.744242,Open Season Collection,"[1, 2, 7]"
School for Scoundrels,10.725567,,"[3, 6, 14]"
Romy and Michele: In the Beginning,0.589159,,[3]
St. Martin's Lane,2.115376,,"[3, 6]"
G.O.R.A.,2.742702,,"[1, 3, 15]"
The Departed,18.515448,,"[6, 17, 4]"
The Texas Chainsaw Massacre: The Beginning,10.516112,Texas Chainsaw (Reboot) Collection,[11]
Employee of the Month,8.596352,,"[3, 14]"
Stormbreaker,8.778999,,"[1, 0, 7]"
Sirocco,2.739096,,"[0, 1, 6]"
"Hawaii, Oslo",1.749024,,"[6, 9]"
Dante's Inferno,0.977254,,[6]
Antibodies,2.266307,,"[17, 4, 6]"
Dr. Cyclops,0.662919,,"[1, 11, 15]"
Running with Scissors,4.926507,,"[6, 3]"
Dillinger,1.61966,,"[6, 0, 17, 4]"
Brute Force,3.119264,,"[4, 6]"
Ellie Parker,10.146313,,"[3, 6]"
The Grudge 2,6.768804,The Grudge Collection,"[11, 17]"
Man of the Year,7.018483,,"[3, 6, 14, 17]"
The Marine,6.679168,The Marine Collection,"[0, 1, 6, 17]"
Infamous,5.169999,,[6]
One Night with the King,3.660528,,[6]
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,0.110813,,[5]
Fellini's Casanova,2.693281,,"[6, 10, 14]"
The Howards of Virginia,0.482353,,"[6, 10, 18]"
The Last Bolshevik,0.149622,,"[10, 5, 9]"
Chapayev,0.472296,,"[3, 6, 10, 18]"
The Elementary Particles,11.552537,,"[6, 14]"
Jackpot,0.652781,,[3]
Feast,7.888988,Feast Collection,"[0, 3, 11]"
Offside,1.52896,,"[6, 3, 9]"
Little Children,7.311148,,"[14, 6]"
Deliver Us from Evil,2.583226,,"[4, 5]"
Marie Antoinette,1.632643,,"[6, 14]"
F.I.S.T.,3.566996,,"[6, 0]"
Facing the Giants,7.485908,,[6]
Broadway Bill,0.521533,,"[3, 6]"
The Last King of Scotland,9.424157,,[6]
The U.S. vs. John Lennon,1.337104,,[5]
Shortbus,11.547748,,"[14, 6, 3]"
3 Blind Mice,2.963648,,"[4, 9, 17]"
Children of Men,14.114606,,"[6, 0, 17, 15]"
The Prestige,16.94556,,"[6, 13, 17]"
Flags of Our Fathers,9.224494,Clint Eastwood's Iwo Jima Collection,"[18, 6, 10]"
Flicka,3.94159,,[6]
Sleeping Dogs Lie,5.381609,,"[6, 3, 14]"
After Five In The Forest Primeval,0.634599,,"[3, 6]"
9th Company,9.586723,,"[6, 10, 18, 0]"
Jade Warrior,0.939785,,"[0, 14, 1, 17, 8]"
Spies,1.350301,,"[0, 6, 17]"
A Guide To Recognizing Your Saints,7.34846,,"[4, 6]"
Azumi 2: Death or Love,6.754744,Azumi Collection,[0]
13 Tzameti,2.38476,,"[0, 17]"
Saw III,14.938035,Saw Collection,"[11, 17, 4]"
Catch a Fire,3.451518,,"[0, 6, 17]"
Death of a President,4.028906,,"[5, 6, 15]"
Little Secrets,1.917878,,"[6, 7]"
The Kaiser's Lackey,0.420539,,"[10, 6, 3]"
Corto Maltese in Siberia,1.5371,Corto Maltese,"[6, 2, 10, 1]"
5 Fingers,8.253802,,[6]
The Butterfly Effect 2,5.776666,The Butterfly Effect Collection,"[6, 15, 17]"
The Charge of the Light Brigade,5.39865,,"[0, 1, 6, 18]"
Platform,0.622742,,[6]
Lunacy,2.365427,,"[11, 3, 9]"
Flushed Away,9.922577,,"[1, 2, 3, 7]"
Perfume: The Story of a Murderer,10.297304,,"[4, 8, 6]"
Arabesque,4.953729,,"[0, 1, 17]"
The Santa Clause 3: The Escape Clause,6.829528,The Santa Clause Collection,"[3, 7, 1]"
The Long Weekend,6.038144,,"[3, 14]"
Daddy Long Legs,2.16539,,"[6, 12, 14]"
"Cześć, Tereska",0.254635,,[]
All the Invisible Children,2.271382,,[6]
Ocean Waves,5.114861,,"[14, 2, 6]"
Joe Cocker - Mad Dogs & Englishmen,0.035284,,"[12, 5]"
Four Daughters,0.724273,,"[6, 12, 14]"
Arizona,0.911053,,[19]
The Big City,0.865544,,[6]
"The World, the Flesh and the Devil",1.441529,,"[6, 15]"
Mom and Dad Save the World,3.291757,,"[1, 3, 7, 15]"
Boynton Beach Club,0.708481,,"[3, 6, 14]"
Farce of the Penguins,2.515565,,"[3, 5]"
Emmet Otter's Jug-Band Christmas,1.359057,,"[6, 3, 7]"
A Good Year,7.82187,,"[3, 6, 14]"
Dixie Chicks: Shut Up and Sing,1.831001,,[5]
Vital,1.43638,,"[6, 17, 14]"
A Foreign Affair,1.061486,,"[3, 6, 14]"
The Return,9.338989,,"[6, 11, 17]"
For Your Consideration,12.142183,,"[3, 6]"
Street Fight,1.389875,,[5]
Red Dust,1.757911,,[6]
Fuck,2.048857,,[5]
Shooting Dogs,10.81576,,"[6, 10]"
Casino Royale,23.065078,James Bond Collection,"[1, 0, 17]"
Happy Feet,15.088318,Happy Feet Collection,"[2, 3]"
Let's Go to Prison,3.856827,,"[3, 4]"
Déjà Vu,14.922904,,"[0, 17, 15]"
Bobby,9.614816,,"[10, 6]"
Deck the Halls,5.162761,,"[3, 7]"
10 Items or Less,3.898236,,"[3, 6]"
The Holiday,14.043416,,"[3, 14]"
I Wake Up Screaming,1.64311,,"[6, 17, 4]"
Luna de Avellaneda,0.827289,,"[6, 14]"
Snow Cake,11.556057,,"[14, 6]"
Harsh Times,7.659357,,"[4, 6, 17, 0]"
London to Brighton,2.216329,,"[4, 6, 17]"
Gacy,6.677536,,"[4, 6]"
Fast Food Nation,5.397239,,"[3, 6, 17]"
La Bête Humaine,2.760745,,[6]
Celine and Julie Go Boating,1.412839,,"[13, 6, 3, 8]"
Min and Bill,0.336991,,"[6, 3]"
"20,000 Years in Sing Sing",1.530243,,"[6, 4]"
The Great Train Robbery,4.248169,,"[0, 1, 19]"
Simon of the Desert,4.728698,,"[3, 10, 6]"
Tenacious D in The Pick of Destiny,7.98193,,"[3, 12]"
The Facts of Life,0.264959,,"[6, 3, 14]"
It's a Wonderful World,0.287051,,"[3, 4, 13, 14]"
"OSS 117: Cairo, Nest of Spies",6.926251,OSS 117 Collection,"[4, 0, 1, 3]"
Reeker,10.382533,Reeker Collection,"[11, 13]"
Sitting Pretty,3.115951,,[3]
The Last Hard Men,1.095995,,[19]
A Brighter Summer Day,3.248978,,"[4, 6, 14]"
Moog,1.01593,,"[5, 6, 12, 14]"
The Nativity Story,4.68645,,"[6, 10]"
Van Wilder 2: The Rise of Taj,5.985236,National Lampoon’s Van Wilder Collection,[3]
Turistas,11.951258,,"[11, 17]"
Blood Diamond,12.477872,,"[6, 17, 0]"
Dracula's Daughter,2.076008,Dracula (Universal Series),"[6, 8, 11]"
Doc Savage: The Man of Bronze,1.028259,,[1]
She,5.632803,She Collection,"[14, 8, 1]"
Election 2,3.233724,Election Collection,"[6, 4]"
Unaccompanied Minors,5.437197,,"[3, 7]"
Off the Black,0.708427,,[6]
Charlotte's Web,10.254314,,"[3, 7, 8]"
Eragon,9.851133,,"[8, 0, 1, 7]"
Rocky Balboa,11.697604,Rocky Collection,[6]
Iron Island,0.765523,,[6]
Fur: An Imaginary Portrait of Diane Arbus,5.108321,,"[6, 13, 14]"
Girl Shy,1.153412,,"[0, 3, 14]"
The Dam Busters,2.744345,,"[6, 0, 10, 17, 18]"
Zombie Honeymoon,2.702334,,[11]
Another Gay Movie,5.978211,Another Gay Movie Collection,"[3, 14]"
The Myth,9.161849,,"[0, 1, 3, 6, 8]"
Oyster Farmer,1.143836,,"[6, 9, 14]"
Waterloo Bridge,0.933263,,"[6, 18]"
Red-Headed Woman,0.656431,,"[3, 14]"
Daniel,2.388788,,[6]
Power,1.828322,,[6]
Lost Horizon,0.907629,,"[1, 8, 14]"
The Man Who Never Was,1.210668,,"[17, 18, 6, 10]"
Something Wild,0.911178,,[6]
The Painted Veil,11.370183,,"[6, 14]"
We Are Marshall,5.401746,,[6]
The Place Promised in Our Early Days,6.74453,,"[2, 1, 6, 14, 15]"
The Plague Dogs,8.302414,,"[1, 2, 6]"
The Good Shepherd,11.057536,,"[6, 17, 10]"
Dreamgirls,7.739633,,[6]
The Page Turner,2.051237,,"[6, 12]"
Loose Change: 2nd Edition,0.651714,Loose Change Collection,[5]
We Feed the World,0.934533,,[5]
The Decameron,5.619235,Trilogy of Life,"[10, 6, 3]"
Freedom Writers,13.585233,,"[4, 6]"
When the Levees Broke: A Requiem in Four Acts,0.525385,,[5]
The Intruder,0.988415,,[6]
Katzelmacher,1.3981,,[6]
INLAND EMPIRE,6.610774,,"[11, 6, 13, 17]"
Sebastiane,1.070492,,[6]
Caravaggio,2.88364,,"[6, 10]"
Wild Side,0.516347,,[6]
The History Boys,3.403583,,"[3, 6]"
Notes on a Scandal,8.593087,,"[6, 14]"
Children Shouldn't Play with Dead Things,1.796065,,"[11, 3]"
Inferno,7.965505,,"[0, 6, 14]"
The Face Behind the Mask,0.671336,,"[4, 6]"
The Life of Jesus,2.419374,,"[14, 6]"
DOA: Dead or Alive,5.756379,,"[1, 0, 17]"
Curse of the Golden Flower,6.238036,,"[0, 6, 8]"
The Bothersome Man,3.422864,,"[3, 6, 8]"
Don't Drink the Water,1.618751,,[3]
The Good German,5.290831,,"[18, 4, 6, 13, 14, 17]"
Sweet Land,6.185658,,"[6, 14]"
Letters from Iwo Jima,11.649588,Clint Eastwood's Iwo Jima Collection,"[0, 1, 6, 18]"
Presenting Lily Mars,0.346945,,"[12, 14]"
Black Christmas,7.888302,,"[11, 17]"
Happily N'Ever After,13.139893,Happily N'Ever After Collection,"[2, 3, 7, 8, 15]"
Home of the Brave,4.068478,,"[0, 6]"
Code Name: The Cleaner,11.107148,,"[0, 3, 4]"
Stomp the Yard,5.607508,Stomp the Yard Collection,"[6, 12]"
Miss Potter,8.599342,,"[6, 7, 14]"
Arthur and the Invisibles,11.621534,Arthur and the Invisibles Collection,"[1, 8, 2, 7]"
Tell Me Something,1.320887,,"[4, 9, 11, 13, 17]"
Loving Annabelle,7.528482,,"[6, 14]"
American Pie Presents: The Naked Mile,8.152676,American Pie (Spin-off) Collection,[3]
Rolling Family,0.469667,,"[6, 3]"
The Young Girls of Rochefort,3.454623,,"[12, 14, 6, 3]"
Alice in the Cities,2.988528,,[6]
David and Bathsheba,2.162008,,"[6, 14]"
Old Joy,2.196695,,[6]
The Banquet,2.591175,,"[8, 6, 0, 10]"
Venus,3.740068,,"[6, 3, 14]"
My Bollywood Bride,0.885042,,"[3, 14]"
Rosario Tijeras,1.909852,,"[4, 14, 6]"
American Madness,0.649011,,"[4, 6]"
The Return of Don Camillo,4.454569,Don Camillo Collection,[3]
Don Camillo,2.865776,Don Camillo Collection,[3]
Invisible Waves,1.274388,,"[6, 17]"
Cold Showers,2.337139,,[6]
The Singer,2.725556,,"[6, 14]"
Primeval,2.454709,,[1]
Alpha Dog,7.655603,,"[4, 6]"
The Hitcher,7.160967,,"[0, 11, 4]"
The Dead Girl,4.028773,,"[13, 6, 4, 17]"
Testament of Orpheus,2.952714,The Orphic Trilogy,"[8, 6]"
House Of 9,5.499612,,"[17, 6, 11, 13]"
A Stolen Life,1.39158,,[6]
After the Wedding,5.099115,,[6]
Time,3.376611,,"[14, 6, 13]"
Into Great Silence,0.460854,,"[5, 9]"
Dinner for One,2.317554,,[3]
Red Doors,1.38669,,"[3, 6]"
The Wendell Baker Story,1.756489,,"[3, 6, 14]"
Crawlspace,2.230313,,"[11, 17]"
Linda Linda Linda,2.186388,,[3]
Juarez,0.657739,,"[6, 10, 14]"
The Weeping Meadow,1.249402,,"[14, 6, 10]"
Daisies,4.892157,,"[6, 3]"
Bridge to Terabithia,8.460206,,"[1, 6, 7]"
Beer League,1.521008,,[3]
Dead Meat,2.783147,,"[3, 0, 11, 15]"
Killer of Sheep,2.777856,,[6]
The Blood of a Poet,1.547374,The Orphic Trilogy,"[6, 8]"
Dirty Sanchez: The Movie,0.908052,,[3]
Shadows in the Sun,1.606225,,"[6, 3, 14]"
House,4.321776,,"[3, 8, 11]"
Kenny,1.489294,,[3]
49 Up,0.769595,The Up Series,[5]
Waitress,11.276024,,[3]
The Secret,4.457291,,[5]
Neverwas,8.557727,,"[6, 8, 17]"
Seven Up!,1.046864,The Up Series,[5]
7 Plus Seven,0.001021,The Up Series,[5]
Record of a Tenement Gentleman,0.719233,,"[3, 6]"
R-Point,2.004405,,"[0, 10, 11]"
Catch and Release,5.953413,,"[3, 6, 14]"
Smokin' Aces,7.906434,Smokin' Aces Collection,"[0, 3, 4, 17]"
Blood and Chocolate,5.415846,,"[6, 8, 11, 14]"
Epic Movie,5.549609,,"[0, 1, 3]"
The Messengers,9.629399,The Messengers Collection,"[13, 17, 11]"
Because I Said So,14.764607,,[3]
Hannibal Rising,2.159558,The Hannibal Lecter Anthology,"[4, 6, 17]"
Norbit,7.667874,,[3]
Billy the Kid vs. Dracula,0.53403,,"[0, 3, 11]"
Red Angel,1.486509,,"[18, 6, 9]"
The Boss of It All,4.066106,,[3]
Cocaine Cowboys,2.941626,Cocaine Cowboys,"[0, 5]"
Lonely Hearts,5.694413,,"[6, 17, 4, 14]"
Ratatouille,20.50803,,"[2, 3, 7, 8]"
Five Fingers,5.070446,,"[6, 0, 17]"
Izo,2.482068,,"[0, 6, 8, 10, 11]"
Lola,3.325461,,"[6, 14]"
The Point!,0.766972,,"[2, 6, 7, 8]"
"Paris, je t'aime",6.980486,,"[6, 14]"
The Astronaut Farmer,6.862146,,"[1, 3, 6, 15]"
Murk,1.495971,,"[17, 6]"
"Wake Up, Ron Burgundy: The Lost Movie",3.055036,Anchorman Collection,[3]
SPL: Kill Zone,8.416631,SPL Collection,"[0, 4, 6, 17]"
Mafioso,0.242384,,"[6, 0, 3, 4, 9]"
It's a Boy Girl Thing,8.960677,,"[3, 8, 14]"
Myra Breckinridge,0.619657,,"[3, 6]"
Vice Squad,0.870174,,"[0, 6, 13, 17]"
The Ugly Duckling and Me!,4.407038,,"[7, 2, 3]"
Danika,10.488933,,"[6, 11, 17]"
Days of Glory,10.021547,,"[6, 10, 18]"
The Strange Case of Dr. Jekyll and Mr. Hyde,0.424452,,"[6, 15, 17]"
Schizo,0.47589,,"[4, 6, 14]"
The Odyssey,4.315717,,"[1, 8]"
Unknown,13.505066,,"[4, 6, 13, 17]"
Magical Mystery Tour,2.70213,,[12]
Ringers - Lord of the Fans,0.361798,,[5]
Sisters of the Gion,0.717874,,[6]
Trailer Park Boys: The Movie,3.172765,Trailer Park Boys Collection,[3]
Ghost Rider,11.902354,Ghost Rider Collection,"[17, 0, 8, 11]"
Breach,6.885359,,"[6, 17, 4, 10]"
Daddy's Little Girls,6.063809,,"[3, 6, 14]"
Music and Lyrics,7.196688,,"[3, 12, 14]"
The Number 23,8.140941,,"[17, 6, 13]"
Reno 911!: Miami,4.468247,,"[0, 1, 3, 4]"
Black Snake Moan,7.050403,,[6]
Gray Matters,2.268351,,"[3, 14]"
Be with Me,1.262339,,"[6, 14, 9]"
Shooting Gallery,3.346751,,"[3, 6, 14, 17]"
What Will You Do When You Catch Me?,0.004974,,"[3, 9]"
The Dagger of Kamui,1.267756,,"[2, 0]"
loudQUIETloud: A Film About the Pixies,0.95225,,"[5, 12]"
My Father and My Son,1.712815,,"[3, 6]"
Factory Girl,19.651793,,[6]
Salon Kitty,3.947614,,[6]
Human Trafficking,2.529274,,[6]
Kidulthood,5.230003,Kidulthood Collection,[6]
Like Mike 2: Streetball,2.255781,Like Mike Collection,"[3, 6, 7]"
Lady in Cement,3.40004,,"[13, 3, 4, 6]"
